"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","fan 5","fan 6","fan 7","fan 8","fan 9","fan 10","fan 11","temp 0","temp 1","temp 2","temp 3","temp 4","temp 5","temp 6","temp 7","temp 8","temp 9","temp 10","temp 11","Unit 1 ethash H/s","Unit 1 sha256-ton H/s","Unit 2 ethash H/s","Unit 2 sha256-ton H/s","Unit 3 ethash H/s","Unit 3 sha256-ton H/s","Unit 4 ethash H/s","Unit 4 sha256-ton H/s","Unit 5 ethash H/s","Unit 5 sha256-ton H/s","Unit 6 ethash H/s","Unit 6 sha256-ton H/s","Unit 7 ethash H/s","Unit 7 sha256-ton H/s","Unit 8 ethash H/s","Unit 8 sha256-ton H/s","Unit 9 ethash H/s","Unit 9 sha256-ton H/s","Unit 10 ethash H/s","Unit 10 sha256-ton H/s","Unit 11 ethash H/s","Unit 11 sha256-ton H/s","Unit 12 ethash H/s","Unit 12 sha256-ton H/s",
"18/03/2022 13:00:00",1043,11,70,53,60,46,65,60,75,50,65,50,60,0,61,55,50,57,51,58,55,55,47,44,49,0,25472369,30942147,25546410,31421651,23960445,43740375,29489237,25255830,24022060,24418810,32699866,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:05:00",1045,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25470110,30941215,25551714,31427839,23972978,43747999,29483175,25249795,24023427,24409108,32699866,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:10:00",1041,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25470865,30966947,25547925,31427839,23970261,43739105,29580036,25261120,24020694,24418798,32704599,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:15:00",1045,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25464840,30969697,25545651,31430491,23974342,43737835,29098895,25260364,24013185,24408413,32705548,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:20:00",1038,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25468605,30955905,25539593,31426071,23975020,43731492,29503953,25256585,24019329,24417410,32701758,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:25:00",1046,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25464839,30965099,25551717,31430492,23973660,43737834,29307348,25254320,24009778,24425019,32699865,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:30:00",1041,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25469357,30978897,25551712,31430491,23970260,43739105,29218646,25252810,24011821,24419490,32700812,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:35:00",1047,11,70,53,60,45,65,60,75,50,65,50,60,0,59,55,50,56,50,57,55,55,46,44,49,0,25471617,30938522,25541107,31429607,23930881,43737838,29704522,25255829,23990343,24425038,32702706,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:40:00",1039,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,56,55,47,44,49,0,25473876,30961421,25541112,31429607,23975019,43745457,29671220,25259608,24022743,24426416,32697974,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:45:00",1041,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25476137,30951319,25553229,31423802,23973659,43735298,29542291,25258097,24015237,24419483,32705546,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:50:00",1044,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,51,58,55,55,47,44,49,0,25467099,30956824,25552470,31425187,23966524,43739106,29591857,25258097,24015241,24422276,32701759,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 13:55:00",1044,11,70,53,60,46,65,60,74,50,65,50,60,0,60,55,50,56,51,58,55,55,47,44,49,0,25469357,30974297,25550955,31428724,23972979,43739105,29370169,25259607,24017964,24405653,32699866,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:00:00",1043,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25469368,30944894,25542644,31422481,23972982,43742916,29376841,25255830,24021379,24402187,32704599,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:05:00",1047,11,69,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25466345,30972456,25549440,31426071,23968484,43741644,29611291,25258096,24019329,24414682,32697025,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:10:00",1041,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25469357,30934783,25540353,31402814,23969579,43737837,29652851,25261876,24020694,24413945,32707440,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:15:00",1044,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,56,55,47,44,49,0,25470110,30971549,25550953,31424687,23969581,43735297,29433181,25256586,24017963,24411179,32700812,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:20:00",1044,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25465592,30963258,25544137,31429607,23971618,43741645,29576711,25254324,24015920,24429883,32703652,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:25:00",1046,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,56,55,46,44,49,0,25465595,30950394,25539607,31428723,23972301,43726443,29701335,25258853,24020013,24402878,32703653,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:30:00",1045,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,56,55,46,44,49,0,25467098,30957747,25546407,31431375,23975021,43742915,29781500,25259610,24015923,24404257,32699866,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:35:00",1045,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25467098,30985348,25549439,31425632,23969846,43734028,29709965,25260364,24020696,24413280,32700812,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:40:00",1041,11,69,53,60,46,65,60,76,50,65,50,60,0,60,55,49,56,50,57,55,54,46,43,49,0,25461079,30959588,25544892,31430491,23978422,43736563,29724272,25258098,24022060,24404972,32699867,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:45:00",1041,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25468610,30940290,25547929,31425188,23973659,43737838,29467925,25262632,24015915,24395288,32704599,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:50:00",1048,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25471617,30959589,25541866,31422544,23972979,43744186,29483266,25259608,24022060,24425029,32703652,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 14:55:00",1043,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,54,47,44,49,0,25465592,30949492,25538843,31417141,23972301,43740375,29346963,25255076,24017280,24421563,32701760,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:00:00",1042,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,46,44,49,0,25467851,30943963,25554745,31426954,23968903,43736566,29450578,25258852,24017282,24423644,32699866,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:05:00",1035,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,54,46,44,49,0,25468606,30947640,25532030,31429607,23968220,43734033,29565007,25258096,24021378,24407031,32703652,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:10:00",1043,11,70,53,60,46,65,60,75,50,65,50,60,0,61,55,50,56,50,58,55,55,47,44,49,0,25463336,30963260,25544147,31433144,23970938,43742916,29488900,25259609,24020011,24427791,32702706,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:15:00",1021,11,70,53,60,46,65,60,75,50,65,50,60,0,60,55,50,56,50,58,55,55,47,44,49,0,25473123,30957745,25547166,31419645,23963171,43739105,29223765,25261120,24016599,24419480,32703652,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:20:00",1044,11,70,53,60,46,65,60,75,50,65,50,60,0,61,55,50,56,50,58,55,55,47,44,49,0,25475383,30958677,25544896,31432261,23967540,43737836,31230161,25257341,24020012,24426409,32702705,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:25:00",1045,11,70,53,60,46,65,60,75,50,65,50,60,0,61,55,50,56,50,58,56,55,47,44,49,0,25476137,30955905,25533539,31424688,23965550,43744186,30533895,25252808,24018647,24415346,32706492,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:50:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 15:55:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:00:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:05:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:15:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:20:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:25:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:30:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:50:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:55:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:00:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:05:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:15:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:20:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:25:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:30:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:50:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:55:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:00:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:05:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:15:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:20:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:25:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:30:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:50:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:55:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:00:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:05:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:15:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:15:00","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:20:00",57,"-",0,0,0,0,0,0,0,0,0,0,0,0,43,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:25:00",277,4,0,0,0,0,0,0,0,0,0,0,0,0,46,51,47,50,0,0,0,0,0,0,0,0,26420000,26420000,28550000,26420000,0,0,0,0,0,0,0,0,634180000,607750000,0,634180000,0,0,0,0,0,0,0,0,
"18/03/2022 19:30:00",248,4,68,68,70,68,0,0,0,0,0,0,0,0,47,41,48,51,0,0,0,0,0,0,0,0,28900000,0,30740000,29040000,0,0,0,0,0,0,0,0,924750000,0,629820000,924750000,0,0,0,0,0,0,0,0,
"18/03/2022 19:35:00",28,"-",0,0,0,0,0,0,0,0,0,0,0,0,34,37,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:45:00",186,4,68,68,70,68,0,0,0,0,0,0,0,0,41,39,40,38,0,0,0,0,0,0,0,0,7430000,0,0,0,0,0,0,0,0,0,0,0,237820000,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:50:00",88,"-",68,68,70,68,0,0,0,0,0,0,0,0,38,39,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:55:00",88,"-",68,68,70,68,0,0,0,0,0,0,0,0,35,38,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:00:00",234,4,68,68,70,68,0,0,0,0,0,0,0,0,44,39,43,47,0,0,0,0,0,0,0,0,28900000,0,31900000,28900000,0,0,0,0,0,0,0,0,924840000,0,0,924840000,0,0,0,0,0,0,0,0,
"18/03/2022 20:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:15:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:15:00",238,4,68,68,68,70,0,0,0,0,0,0,0,0,46,38,49,46,0,0,0,0,0,0,0,0,28900000,0,28900000,31900000,0,0,0,0,0,0,0,0,924840000,0,924840000,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:20:00",92,"-",68,68,68,70,0,0,0,0,0,0,0,0,36,39,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:30:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:40:00",231,4,68,68,68,70,0,0,0,0,0,0,0,0,41,44,43,42,0,0,0,0,0,0,0,0,29276579,29276579,29276578,32446258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:45:00",232,4,68,68,68,70,0,0,0,0,0,0,0,0,44,47,46,46,0,0,0,0,0,0,0,0,29283381,29285082,29283381,32470504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:50:00",233,4,68,68,68,70,0,0,0,0,0,0,0,0,44,49,46,46,0,0,0,0,0,0,0,0,29285933,29285933,29285932,32471439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:55:00",230,4,68,68,68,70,0,0,0,0,0,0,0,0,44,48,47,47,0,0,0,0,0,0,0,0,29284232,29285082,29284231,32472371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:00:00",232,4,68,68,68,70,0,0,0,0,0,0,0,0,44,48,47,47,0,0,0,0,0,0,0,0,29284233,29285934,29286784,32471438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:05:00",232,4,68,68,68,70,0,0,0,0,0,0,0,0,44,48,46,47,0,0,0,0,0,0,0,0,29286783,29287635,29285082,32474238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:10:00",227,4,68,68,68,70,0,0,0,0,0,0,0,0,44,48,46,47,0,0,0,0,0,0,0,0,29286784,29285933,29285933,32473306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:20:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:25:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:30:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:35:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:40:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:45:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:50:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:55:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:00:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:05:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:10:23","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
